"V1","V2","V3","V4","V5"
1490,478,375,368,107
1590,442,321,321,145
1680,511,342,321,162
1120,497,334,303,154
2650,866,532,542,377
1900,972,744,713,254
1590,586,434,429,208
1860,579,429,418,171
991,362,221,228,154
1090,381,233,240,158
1490,698,500,456,214
2190,546,379,374,175
2010,690,429,436,254
2060,746,566,545,233
3800,1520,980,966,581
2370,888,607,608,325
2530,872,635,630,241
1880,562,423,423,199
1980,679,504,478,235
1870,638,414,412,215
1520,584,402,377,196
3390,1700,1320,1320,491
4480,1640,1070,1080,605
3660,1100,758,768,367
3820,1460,955,956,541
2650,1020,728,698,300
2210,743,532,517,248
2910,949,589,585,387
1740,691,500,509,213
3220,1420,976,1010,482
2010,864,703,742,184
1740,488,328,327,170
1780,661,443,415,221
1240,527,388,397,156
982,370,231,230,142
870,299,214,212,90.6
1170,390,250,234,127
4070,1390,1000,968,488
2520,1070,766,774,295
2680,1110,743,755,440
2340,712,513,501,266
2220,588,398,384,196
1740,526,373,379,177
1720,565,376,348,160
1720,538,370,363,191
2800,1770,1500,1510,437
3150,1350,1020,1030,411
2540,1080,780,813,285
2660,828,633,603,199
1830,898,707,703,203
1950,1100,777,676,278
2140,915,704,681,200
2970,891,638,655,273
1180,566,372,360,180
1840,853,584,535,232
4680,2450,1560,1570,921
2620,946,570,571,408
3110,1310,805,752,538
2220,597,388,384,244
2210,711,481,461,276
2230,884,658,679,229
2620,925,615,592,370
2050,663,429,423,242
3780,1580,1240,1210,409
3060,1370,1020,1060,353
3260,1560,1140,1140,421
2350,799,570,561,246
2610,872,626,589,282
2490,943,719,679,249
2800,910,655,674,250
2030,663,487,482,210
1400,473,326,331,150
1690,634,468,468,184
6020,2250,1490,1470,734
3460,1460,986,998,482
1830,721,501,505,248
1800,628,410,408,230
2030,715,545,525,150
1640,452,324,334,151
1990,557,411,409,159
1570,534,368,358,188
2620,1010,756,731,282
2980,1150,792,810,353
2490,979,719,752,280
2470,819,620,615,234
2040,926,668,719,251
2300,926,648,574,278
1770,653,451,437,212
1460,610,442,426,188
1580,524,358,338,167
3030,1370,987,994,427
2900,1040,643,633,462
2200,762,508,509,293
2250,822,575,559,260
1720,810,624,592,165
1740,695,413,386,254
1440,431,275,278,153
1200,464,294,282,163
1900,999,859,859,169
2220,960,759,799,205
2190,1000,743,815,278
2180,922,725,765,228
1710,637,412,442,239
1610,525,373,371,181
1800,607,427,414,174
5080,1430,895,930,558
3370,1140,802,820,306
1800,788,627,619,201
2130,787,581,577,219
2160,1060,825,752,186
1900,538,370,342,184
2130,679,395,365,245
2050,716,511,507,214
2870,1500,1110,1090,438
2260,1210,974,947,282
1880,893,685,673,262
2280,889,674,660,241
1690,709,530,536,192
1670,732,542,523,239
1600,599,428,433,210
1280,559,381,367,192
3400,1260,990,1010,309
3190,1580,1110,1150,513
3070,1320,1040,1070,274
2590,995,740,751,248
3110,936,694,707,277
2960,1060,804,857,237
2710,687,482,446,209
2460,1190,807,742,317
2540,1360,1040,1060,357
2100,860,629,673,282
2410,788,561,542,260
2280,836,557,566,314
2170,961,688,723,261
1700,676,482,477,207
1750,634,460,455,200
1520,622,433,397,183
2420,800,553,538,298
2510,1020,722,737,344
1990,891,657,673,248
1930,579,417,413,217
1270,547,389,386,171
1590,616,436,423,212
1560,504,350,346,192
1320,484,332,301,159
1740,717,443,392,256
3470,1110,810,746,348
1910,626,474,487,193
2250,929,656,647,304
2640,769,525,580,328
1320,548,385,404,180
1890,707,442,400,245
1310,451,303,282,167
1110,430,289,312,152
5560,1490,986,959,533
3610,1790,1400,1450,504
3450,1040,753,770,314
2480,735,530,571,231
2430,701,523,547,199
1580,546,365,370,184
2280,676,409,400,247
1330,420,253,222,164
1710,788,645,658,182
1840,609,468,464,151
1530,551,440,426,142
2050,587,459,443,177
1490,597,464,455,183
1590,617,495,484,145
1250,454,325,320,163
1000,326,212,279,114
959,303,205,294,110
1140,351,230,206,132
3160,1540,1110,1080,491
3250,1160,791,720,399
1570,470,347,382,168
1750,615,434,477,172
2100,876,653,637,212
2200,977,597,651,343
1680,762,505,573,216
1820,873,639,600,275
1790,794,557,579,176
2380,940,671,646,275
1910,752,570,579,210
2060,882,627,591,206
1870,626,443,440,175
1420,567,408,422,167
1200,437,322,352,139
1250,470,345,355,135
3590,1150,822,787,344
3520,1480,1130,1100,566
3770,2110,1450,1380,668
3040,1690,1320,1270,412
1720,686,479,481,199
2720,816,587,559,282
2170,817,581,530,228
1850,610,415,377,200
3530,1520,1120,1020,487
1830,733,491,432,211
1680,494,384,434,177
1720,791,539,530,249
1930,713,528,506,202
1920,824,555,574,249
1700,513,344,365,179
2440,1180,777,660,290
3640,1430,1060,929,533
4380,1500,1110,1000,438
2160,754,503,482,230
2010,601,450,437,173
1470,493,353,362,173
1610,482,350,379,177
1740,375,284,311,132
1400,371,239,297,155
1400,391,265,293,145
2400,967,675,600,308
2040,581,369,366,209
1390,523,337,341,167
1520,396,252,274,128
1640,498,318,322,199
1320,338,237,279,108
1860,515,321,296,185
1400,383,243,269,138
3550,1390,1000,964,404
2480,844,595,552,264
2450,1100,768,803,321
2590,1170,845,856,325
2450,1040,723,717,318
1560,633,461,440,193
1540,495,347,360,161
1690,557,400,390,177
1780,676,437,421,230
3480,1720,1340,1340,386
2430,1210,848,885,321
2300,1210,877,846,294
2180,819,616,611,223
2350,1100,774,784,267
1880,637,421,412,267
2440,1130,701,615,335
1780,698,513,561,213
1360,503,308,332,177
3720,1530,1010,1060,447
3650,1430,1070,1090,380
1490,488,342,343,162
2480,751,574,569,211
1900,581,420,418,202
2390,794,510,508,262
2170,767,593,586,183
1780,551,399,421,169
1370,457,283,268,170
7290,2860,2290,2270,577
2230,1030,852,842,201
2410,971,758,765,210
2550,1280,843,793,296
1790,737,526,591,162
1640,669,462,501,188
1660,871,606,603,263
1870,904,652,710,220
1410,453,322,286,152
1640,486,359,364,136
1770,547,410,411,163
1310,422,304,321,121
1170,387,277,326,99.5
980,297,219,206,95.1
978,289,187,227,104
1010,322,197,231,113
2790,1180,804,740,350
1780,537,404,437,137
1950,730,484,445,248
2610,848,534,535,244
1360,439,327,344,132
2090,637,436,491,169
2000,548,347,367,171
1440,519,275,252,192
5280,2630,1880,1800,904
4210,1030,691,632,353
2060,572,425,460,197
1620,753,566,579,237
1550,589,418,426,183
1990,642,464,433,179
1530,524,350,390,184
3230,1590,1210,1120,314
3210,1040,708,734,336
2060,932,705,736,243
2360,707,460,480,242
2160,672,499,477,177
1680,553,407,420,176
1800,743,484,478,224
1240,373,275,303,119
1380,461,306,306,155
2630,1000,730,747,260
1590,943,692,732,217
1460,677,515,546,170
2090,1260,880,755,229
1540,894,694,701,202
1860,688,512,533,207
1530,591,467,491,145
1250,618,454,488,160
1360,561,394,420,180
2800,1250,849,840,354
2590,981,661,600,315
2420,934,704,707,283
2220,781,567,547,196
2220,707,492,473,222
1780,534,379,399,160
1520,528,332,357,214
1570,604,358,393,237
1740,537,384,420,173
3800,1480,1040,953,571
3030,1210,879,812,323
2310,704,408,421,272
2800,893,552,550,328
1630,539,402,442,155
1290,374,236,289,138
1620,525,333,356,204
4930,1970,1390,1370,726
3690,1980,1420,1490,593
2960,1050,712,814,322
3020,1360,944,991,336
3420,1390,817,904,426
2370,1030,661,661,287
1760,521,293,316,189
1970,658,425,468,255
