"V1","V2","V3","V4"
1250,454,63.2,20.4
1000,326,22.3,11
959,303,15.6,7.29
1140,351,27.1,12.2
3160,1540,227,140
3250,1160,134,65.3
1570,470,80.2,36.4
1750,615,105,50.2
2100,876,140,50.7
2200,977,159,75.3
1680,762,146,64.4
1820,873,117,46.3
1790,794,103,53.8
2380,940,144,66.9
1910,752,83,47.7
2060,882,139,69.4
1870,626,57.8,32.3
1420,567,32,15.1
1200,437,47,33.5
1250,470,30.7,12.6
3590,1150,98,64.5
3520,1480,323,144
3770,2110,281,108
3040,1690,150,64.5
1720,686,126,63.1
2720,816,57.3,37.6
2170,817,82.2,47.1
1850,610,27.9,14.8
3530,1520,238,102
1830,733,48.5,29.8
1680,494,50.3,29.7
1720,791,70.5,36.7
1930,713,93.8,61.2
1920,824,90,45.6
1700,513,72.5,41.2
2440,1180,63.2,27
3640,1430,310,152
4380,1500,268,96
2160,754,67.2,36
2010,601,88.5,48.6
1470,493,100,56.9
1610,482,58.2,37.5
1740,375,44,28.2
1400,371,24.2,14.1
1400,391,38.9,24.4
2400,967,151,63
2040,581,88.3,46.2
1390,523,126,70.4
1520,396,38.6,23.5
1640,498,37.8,21.1
1320,338,33.5,20
1860,515,59.3,39.2
1400,383,35.9,22.3
3550,1390,168,92.1
2480,844,110,52.5
2450,1100,176,78.1
2590,1170,171,71.8
2450,1040,72.1,45.7
1560,633,67.9,44.3
1540,495,28.4,17.3
1690,557,71.1,35.5
1780,676,41.9,27.2
3480,1720,394,221
2430,1210,267,110
2300,1210,198,68.8
2180,819,131,44
2350,1100,185,108
1880,637,41.9,22.4
2440,1130,60.7,29.3
1780,698,111,58.2
1360,503,32.3,18.5
3720,1530,303,130
3650,1430,240,107
1490,488,25.6,12.7
2480,751,137,72.5
1900,581,32.5,16.6
2390,794,72.2,32.3
2170,767,123,66.4
1780,551,64.1,34.9
1370,457,16.6,11
7290,2860,563,232
2230,1030,154,60.8
2410,971,166,55.6
2550,1280,108,50.6
1790,737,56.6,34.1
1640,669,111,62.1
1660,871,92.7,32.9
1870,904,80,45.4
1410,453,41.4,16.9
1640,486,32.4,21.9
1770,547,47.7,30
1310,422,29.9,18.1
1170,387,19.2,8.94
980,297,35.1,21.9
978,289,11.5,5.83
1010,322,14,7.4
2790,1180,228,100
1780,537,118,55.4
1950,730,77.7,41.1
2610,848,75.1,44.2
1360,439,70.7,35.2
2090,637,96.5,48.7
2000,548,54.3,26
1440,519,26.2,14.2
5280,2630,764,363
4210,1030,141,60.6
2060,572,64.7,37.2
1620,753,126,50.6
1550,589,73.1,31.6
1990,642,49.4,35.1
1530,524,49.6,23.1
3230,1590,99.4,42.8
3210,1040,186,68.7
2060,932,178,68.4
2360,707,32.5,16.5
2160,672,45.6,27
1680,553,61,26.2
1800,743,61.9,20.8
1240,373,49.4,22.8
1380,461,25.8,10.8
2630,1000,199,77.9
1590,943,142,63
1460,677,75.4,30.4
2090,1260,68.9,34.4
1540,894,87.2,36.9
1860,688,135,55.9
1530,591,64.7,39
1250,618,106,49.5
1360,561,35.6,18.5
2800,1250,237,120
2590,981,141,67.2
2420,934,189,104
2220,781,63.8,40.4
2220,707,64,39.3
1780,534,42.6,28.4
1520,528,53.8,35.8
1570,604,57.2,29.2
1740,537,45.2,23.6
3800,1480,229,84.9
3030,1210,133,79.2
2310,704,91.4,44.4
2800,893,85,48.5
1630,539,88.8,44.6
1290,374,22.8,10.7
1620,525,49.8,31.2
4930,1970,299,111
3690,1980,381,150
2960,1050,346,138
3020,1360,203,72.8
3420,1390,213,81.5
2370,1030,56.6,29.8
1760,521,32.4,14
1970,658,91.3,33.6
