"V1","V2","V3","V4","V5"
551,31.8,29.2,46.1,270
466,38.4,44.2,36.9,282
499,22.3,36.1,26.7,531
544,130,40.4,75.5,593
270,28.5,22.4,26.6,169
387,24.5,29.8,26.8,287
1310,270,30.3,109,1120
459,130,27,42.9,968
580,75,29.6,25.8,604
277,35.8,22.6,29.6,709
365,54.8,22.5,19.7,617
547,25.9,34.3,24.2,447
439,58.8,30.2,59.1,624
315,46.7,20.1,29.3,544
784,105,154,245,907
815,101,58.9,108,883
877,94.5,136,98.3,726
479,81.4,39.6,33.1,659
518,54.8,28.5,30.9,602
440,26.7,60.8,81.9,398
522,47,30.4,32.9,759
365,25.7,32.4,36.7,430
239,24.1,23.3,23.5,349
373,26.5,27.6,27.2,352
1120,321,98.2,232,1800
656,83.6,96.6,56.3,688
301,30.5,55.3,39.4,326
304,69.6,25.6,20.7,517
389,17.8,33.2,22.7,403
250,22.7,16.9,29.9,331
311,19,23.8,17.9,411
284,46,23.5,21.3,376
664,102,24.4,35.2,625
680,126,25.7,27.1,704
655,53.5,24.1,16.9,847
529,77.9,22.5,22.4,593
596,41.8,21.3,22.4,404
433,33,22,17.3,458
353,35.6,18.2,26.5,359
364,37.8,16.2,11.2,260
286,21.1,15.2,12.1,290
873,169,44.8,34,990
485,181,38.3,50,799
399,97.8,19.7,22.7,423
473,65,25.5,21.4,487
410,26.8,37.3,17.5,326
287,49.4,22.6,26.9,334
226,29,13.5,14.1,247
225,23.7,14,18.7,225
659,23.3,125,29.5,425
730,37.7,40.6,21.8,514
609,83.4,105,21.2,580
684,45.3,39.2,27.9,485
319,73.2,87.5,19.2,640
309,33.8,26.6,38.4,543
328,24.8,28.3,31.3,393
810,278,20.7,88,2020
821,83.2,25.2,44.1,1050
550,31.7,35,25.7,398
480,26.1,29.7,51.8,480
520,24.5,30.1,19.9,374
258,20.1,25.4,20.3,627
280,27.2,20.6,38.8,504
421,39.9,20.4,21.6,426
774,65.7,130,56.3,396
736,39.6,73.5,49.3,324
568,45.5,40.4,29.6,284
518,37.7,45.1,35.4,404
424,38.6,25.9,31.5,424
452,33,26,27.3,374
317,33.1,26.2,31.6,351
283,24.4,26.4,23.9,275
748,45,111,44.8,753
940,153,65.1,75.1,846
860,82.4,82.2,60.4,805
537,52.7,65.9,73.2,728
534,55.3,60.6,41.3,633
657,47.7,86.7,32.1,788
320,26.2,35.2,23,639
532,35.4,46,34.2,421
880,114,59.3,46.2,748
513,51.5,23,43.5,465
464,48.8,25.2,28.1,738
445,66.7,24.2,31.3,675
566,56.7,31.8,21.3,450
399,31.1,32.7,23.7,354
353,26.8,27,29.6,448
302,25,32,26.4,315
447,71.1,43.9,18.7,784
662,43.8,20.8,14.4,462
596,49.3,25.9,19,560
325,26.2,22.1,13.3,611
313,24.6,17.3,23.4,318
291,31.2,29.1,30.6,367
285,23.2,19.2,12.9,441
196,19.3,23.9,16.4,375
318,31.2,19.8,19.3,391
735,129,25.8,37.5,1190
396,24.1,19.3,15.1,516
592,46.2,33.4,28.7,598
465,78.6,25.1,25.1,772
329,33.1,11.4,11.6,254
314,38.4,16.9,14,390
239,30.7,13.3,15.9,279
239,25.7,13.7,11.2,241
574,94.8,21.7,204,2170
1280,164,61.6,68.8,1070
567,79,77.8,51.3,984
439,52.8,17.7,28.2,684
472,37.1,18.1,21.9,1020
310,34,17.8,12.4,406
267,40.6,16.2,30.2,577
163,24.5,12.6,18.5,277
608,21.6,30.7,16.6,348
382,25.1,24.7,22.6,620
332,25,33.2,34.7,367
394,22.4,24.6,23.4,477
357,39,29.5,18.8,270
404,28.3,26,21.2,348
273,28.8,15.1,11.5,284
148,24.1,11.5,10.7,225
142,21.2,12.4,11.9,179
179,22.5,11.3,9.4,303
1020,154,58.2,75.9,655
687,116,28.3,37.2,986
226,31.1,20.2,57.1,334
322,35.7,25.8,55.7,455
535,66,32.6,36.2,695
589,89,12.7,23.5,486
522,57.6,22.1,18,450
533,46.2,30,23.7,311
427,54.9,34.8,63.8,433
561,74.3,33.7,41.5,574
456,35.4,16.1,21.9,398
478,30.9,23.9,26.5,456
353,23.8,24.7,27.7,505
318,32,24.9,22.8,237
234,19.7,25.5,21.3,219
290,20.7,12.9,12.8,208
660,87.9,66.5,54.9,1550
1020,283,31.5,35.8,1030
1070,230,97.9,84.3,715
1070,99.3,100,49.5,454
440,29.9,17.9,16.3,459
465,36.5,34.2,24.5,643
477,48.1,24.2,21.6,445
301,22.4,30.4,20.6,414
909,181,51,91.9,804
368,29.6,22.3,30.1,417
352,28.9,47.8,22.2,501
456,79.9,37.2,25.6,263
414,48.2,24.7,27.9,573
465,37.6,32.1,19.4,407
296,34.4,19.3,18.3,358
479,43.4,49.8,31.3,376
1050,194,22.1,22.7,1300
938,136,38.9,48,1490
400,35,41.2,25.2,677
360,37.7,29.1,31.9,510
317,32.6,16.1,20.7,337
293,18.9,20.9,31.6,297
245,21.3,16,15.3,471
185,19.4,16.4,20.8,327
207,21,16.7,16.6,331
494,81.1,49.4,48.1,620
304,63.9,18.8,16.9,691
311,54.3,14.8,20.3,398
196,33,24.1,14.9,440
229,44.9,22,15.9,427
176,23,22.7,12.7,333
247,62,17.8,23.7,553
192,33.8,18.2,17.6,351
765,78.9,52.2,39.2,612
484,81.9,21.1,15.2,873
678,81.4,27.8,19.9,516
721,61.2,33.1,22,442
549,77.7,45.2,27.6,575
362,24,19.8,15.2,306
259,21.2,15.6,20.3,448
337,24.2,18.7,13.3,400
334,34.9,15.2,12,350
1270,122,26.7,25,749
773,105,29.8,40.2,642
772,71.1,23.2,25,402
519,45.6,22.8,14.8,423
648,69.1,40.6,38.1,410
325,72.8,15.2,16.3,416
488,47.4,24.3,16.5,364
417,52.7,30,20.5,430
237,24.2,14.5,14.7,322
907,169,34.3,40.8,1220
917,75.9,37.8,64.5,833
222,20.7,16.7,62.7,284
465,30.6,58.9,20.9,896
298,24.4,53.9,23.1,356
393,27.1,27.3,18.5,504
494,28.9,30.5,30.7,506
320,29.2,18.5,29.7,361
171,20.5,14.3,16.9,240
1560,217,148,462,2530
633,37.3,94.5,63.7,704
537,54.1,46.4,44.6,622
556,39.4,50.8,53.7,502
393,24.6,43.6,26.2,396
381,35.1,25.4,24.6,383
520,64.9,18.5,17.1,252
497,24.9,40.5,44.8,299
263,27.8,14.8,11.9,436
248,25.3,20.7,20.6,403
313,20.8,22.4,20.4,374
208,21.7,22.1,12.5,336
236,21.8,12.2,9.33,329
181,25.7,9.43,9.95,249
127,21.2,10.1,8.16,215
146,17.8,11.4,9.07,249
650,152,21.7,40.4,989
344,23.8,23.3,19,721
414,69.9,27.1,12.1,655
441,37.6,17.7,19.4,750
261,35.5,19.6,11.9,523
383,34.1,36.2,18.1,513
277,35.9,16.9,14.1,554
202,26.8,14.7,9.6,305
1720,410,75.5,43.4,1160
553,160,19.2,41.6,2050
313,27.3,30.3,32.9,717
435,20.6,17.6,27.4,341
339,50.3,29.2,19.4,403
343,20.3,18.6,24.1,469
273,43.6,20,19.3,387
663,74.5,159,89.7,686
548,150,40.2,64.1,1560
591,58.9,56.5,47.3,446
310,58.3,53.6,53.2,601
364,30.5,42.7,48.7,610
286,24.2,46.5,23,454
359,33.8,26,32.4,363
214,22.1,20.3,29.1,312
220,19.6,23,17.1,300
592,66.8,44.2,62.7,989
618,34.7,37.2,15.4,223
335,25,59.2,36.9,312
498,22.1,42,19.2,281
496,26.5,38,46,252
460,35.2,20.9,10.3,400
348,45.8,31.2,19.2,355
390,30.3,24.7,22.1,267
313,26.7,31.8,17.6,279
798,138,29,26.8,532
560,100,27.7,17.6,822
564,62.2,21.6,21.8,626
431,34,36.4,22.9,501
358,46.5,26.3,19.1,518
303,25.3,21.6,16.6,428
280,42.5,20,13.6,312
279,47.6,19.4,13.2,373
308,31.4,24.6,19.8,367
906,223,29.3,52.8,1380
586,82.8,93.2,75.7,904
337,89.3,21.7,25.6,921
394,77.5,34.9,52.6,756
311,22,23.8,24.6,438
157,25.3,13.8,23.9,451
242,35.8,17.1,27.2,422
1070,233,82.9,133,2080
1230,94.3,66.2,82.2,497
813,153,71.6,61,707
852,64.2,34.5,32.6,549
712,125,44.9,50.9,855
500,23,57.2,72.3,352
244,28,15.7,24.5,520
339,51.1,24.1,40,462
